# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
  7834-7834  (1)
  7837-7837  (1)
  783A-783C  (3)
  783F-783F  (1)
  7842-7842  (1)
  7845-7845  (1)
  7848-784A  (3)
  784D-784E  (2)
  7851-7851  (1)
  7853-7854  (2)
  7856-7856  (1)
  7859-785A  (2)
  785D-785D  (1)
  7860-7860  (1)
  7863-7863  (1)
  7866-7866  (1)
  7869-7869  (1)
  786C-786C  (1)
  786F-786F  (1)
  7872-7872  (1)
  7875-7875  (1)
  7878-7878  (1)
  787B-787C  (2)
  787E-7880  (3)
  7883-7883  (1)
  7886-7889  (4)
  788B-788B  (1)
  7890-7892  (3)
  7895-7897  (3)
  789A-789B  (2)
  789E-78A0  (3)
  78A3-78A3  (1)
  78A5-78A5  (1)
  78A8-78A8  (1)
  78AA-78AA  (1)
  78AD-78AD  (1)
  78B0-78B0  (1)
  78B3-78B3  (1)
  78B5-78B7  (3)
  78BF-78BF  (1)
  78C1-78C1  (1)
  78C3-78C3  (1)
  78C6-78C8  (3)
  78CA-78CB  (2)
  78CD-78CD  (1)
  78CF-78CF  (1)
  78D2-78D2  (1)
  78D5-78D6  (2)
  78D9-78D9  (1)
  78DC-78DF  (4)
  78E1-78E4  (4)
  78E7-78EB  (5)
  78EE-78EE  (1)
  78F1-78F2  (2)
  78FE-7903  (6)
  7906-7906  (1)
  7909-790C  (4)
  790F-7910  (2)
  7913-7915  (3)
  7918-7918  (1)
  791B-7922  (8)
  7925-7925  (1)
  7927-792E  (8)
  7930-7931  (2)
  7933-7933  (1)
  7935-7935  (1)
  7938-793E  (7)
  7941-7941  (1)
  7944-7945  (2)
  7948-7948  (1)
  794B-794C  (2)
  794F-794F  (1)
  7952-7952  (1)
  7955-7955  (1)
  7958-7958  (1)
  795B-795C  (2)
  795F-7964  (6)
  7966-7969  (4)
  796F-7974  (6)
  7977-7977  (1)
  797A-797A  (1)
  797D-797D  (1)
  7980-7980  (1)
  7999-7999  (1)
  799C-799C  (1)
  799F-799F  (1)
  79A2-79A2  (1)
  79A4-79A8  (5)
  79AA-79AB  (2)
  79AE-79AE  (1)
  7EF3-7EF3  (1)
  7EF5-7EF5  (1)
  7EF7-7EF7  (1)
  7EF9-7EF9  (1)
  7EFC-7EFC  (1)
  7EFE-7F03  (6)
  7F06-7F07  (2)
  7F09-7F09  (1)
  7F31-7F32  (2)
  7F34-7F37  (4)
  7F39-7F44  (12)
  7F46-7F46  (1)
  7F48-7F4B  (4)
  C000-C006  (7)
  C008-C008  (1)
  C00B-C00B  (1)
  C00E-C00E  (1)
  C011-C011  (1)
  C014-C01D  (10)
  C01F-C022  (4)
  C024-C025  (2)
  C027-C028  (2)
  C02A-C02A  (1)
  C02D-C02F  (3)
  C031-C032  (2)
  C034-C034  (1)
  C037-C038  (2)
  C03B-C03C  (2)
  C03F-C03F  (1)
  C041-C041  (1)
  C044-C044  (1)
  C046-C046  (1)
  C049-C049  (1)
  C04C-C04C  (1)
  C04E-C04E  (1)
  C050-C050  (1)
  C052-C053  (2)
  C055-C055  (1)
  C057-C057  (1)
  C059-C059  (1)
  C05B-C05D  (3)
  C05F-C05F  (1)
  C061-C061  (1)
  C063-C064  (2)
  C066-C066  (1)
  C068-C06A  (3)
  C06C-C06C  (1)
  C06E-C071  (4)
  C073-C074  (2)
  C076-C07C  (7)
  C07F-C081  (3)
  C084-C084  (1)
  C086-C087  (2)
  E792-E793  (2)
  E795-E795  (1)
  E797-E799  (3)
  E79B-E79B  (1)
  E79D-E79D  (1)
  E79F-E79F  (1)
  E7A1-E7A1  (1)
  E7A3-E7A5  (3)
  E7A7-E7A7  (1)
  E7A9-E7A9  (1)
  E7AB-E7AB  (1)
  E7AD-E7AD  (1)
  E7AF-E7AF  (1)
  E7B1-E7B1  (1)
  E7B3-E7B3  (1)
  E7B5-E7B5  (1)
  E7B7-E7B7  (1)
  E7B9-E7B9  (1)
  E7BB-E7BD  (3)
  E7BF-E7BF  (1)
  E7C1-E7C1  (1)
  E7C3-E7C3  (1)
  E7C5-E7C5  (1)
  E7C7-E7C7  (1)
  E7C9-E7C9  (1)
  E7CB-E7CB  (1)
  E7CD-E7CE  (2)
  E7D0-E7D0  (1)
  E7D2-E7D2  (1)
  E7D4-E7D4  (1)
  E7D6-E7D6  (1)
  E7D8-E7D8  (1)
  E7DA-E7DA  (1)
  E7DC-E7DD  (2)
  E7EE-E7EF  (2)
  E7F2-E7F3  (2)
  E7F5-E7F5  (1)
  E7F7-E7F7  (1)
  E7FA-E7FA  (1)
  E7FD-E7FF  (3)
  E801-E801  (1)
  E804-E809  (6)
  E80C-E80C  (1)
  E80E-E80F  (2)
  E812-E812  (1)
  E82A-E82B  (2)
  E82D-E82D  (1)
  E830-E830  (1)
  E832-E832  (1)
  E835-E836  (2)
  E839-E83A  (2)
  E83D-E83E  (2)
  E841-E841  (1)
  E848-E848  (1)
  E84A-E84A  (1)
  E98A-E992  (9)
  E994-E99E  (11)
  E9A0-E9A1  (2)
  E9A3-E9A4  (2)
  E9A7-E9A7  (1)
  E9AA-E9AA  (1)
  E9AD-E9AE  (2)
  E9B1-E9B2  (2)
  E9B4-E9B4  (1)
  E9B7-E9B7  (1)
  E9BA-E9BA  (1)
  E9BC-E9BF  (4)
  E9C1-E9C4  (4)
  E9C6-E9C7  (2)
  E9C9-E9CA  (2)
  E9CC-E9CD  (2)
  E9CF-E9D3  (5)
  E9D5-E9D7  (3)
  E9D9-E9D9  (1)
  E9DB-E9DB  (1)
  E9DE-E9DE  (1)
  E9E0-E9E0  (1)
  E9E2-E9E2  (1)
  E9E4-E9E5  (2)
  E9E7-E9E7  (1)
  E9E9-E9E9  (1)
  E9EB-E9EB  (1)
  E9ED-E9EF  (3)
  E9F1-E9F1  (1)
  E9F3-E9F3  (1)
  E9F5-E9F6  (2)
  E9F8-E9F8  (1)
  E9FA-E9FC  (3)
  E9FE-E9FE  (1)
  EA00-EA05  (6)
  EA07-EA07  (1)
  EA0A-EA0A  (1)
  EA0C-EA0C  (1)
  EA0F-EA0F  (1)
  EA12-EA12  (1)
  EA15-EA16  (2)
  EA19-EA1A  (2)
  EA1D-EA1F  (3)
  EA22-EA22  (1)
  EA24-EA24  (1)
  EA2D-EA2E  (2)
  EA30-EA31  (2)
  EA33-EA34  (2)
  EA36-EA38  (3)
  EA3A-EA3A  (1)
  EA3D-EA3D  (1)
  EA40-EA40  (1)
  EA42-EA42  (1)
  EA45-EA45  (1)
  EA48-EA48  (1)
  EA4B-EA4C  (2)
  EA4E-EA4E  (1)
  ECCD-ECCD  (1)
  ECF7-ECF7  (1)
  ED06-ED06  (1)
  ED09-ED09  (1)
  ED0C-ED0C  (1)
  ED12-ED12  (1)
  ED15-ED15  (1)
  ED18-ED18  (1)
  ED1E-ED1E  (1)
  ED21-ED21  (1)
  ED24-ED24  (1)
  ED27-ED27  (1)
  ED33-ED33  (1)
  ED36-ED36  (1)
  ED3F-ED3F  (1)
  ED42-ED42  (1)
  ED45-ED45  (1)
  ED48-ED48  (1)
  ED51-ED51  (1)
  ED57-ED57  (1)
  ED5D-ED5D  (1)
  ED72-ED72  (1)
  ED84-ED84  (1)
  ED87-ED87  (1)
  ED8A-ED8A  (1)
  ED8D-ED8D  (1)
  ED96-ED96  (1)
  ED99-ED99  (1)
  EDCC-EDCC  (1)
  EDCF-EDCF  (1)
  EDD2-EDD2  (1)
  EDDE-EDDE  (1)
  EDE7-EDE7  (1)
  EDF3-EDF3  (1)
  EDF9-EDF9  (1)
  EDFF-EDFF  (1)
  F174-F174  (1)
  F176-F176  (1)
  F1A0-F1A2  (3)
  F1A4-F1A4  (1)
  F1A7-F1A8  (2)
  F1AB-F1AC  (2)
  F1AF-F1AF  (1)
  F1B1-F1B1  (1)
  F1B4-F1B4  (1)
  F1B6-F1B6  (1)
  F1B9-F1B9  (1)
  F1BC-F1BC  (1)
  F1BE-F1BE  (1)
  F1C1-F1C3  (3)
  F1C5-F1C7  (3)
  F1CA-F1CA  (1)
  F1CD-F1D1  (5)
  F1D4-F1D4  (1)
  F1D7-F1D8  (2)
  F1DA-F1DC  (3)
  F1F4-F1F4  (1)
  F1F7-F1FB  (5)
  F1FD-F200  (4)
  F203-F203  (1)
  F206-F207  (2)
  F400-F400  (1)
  F403-F403  (1)
  F406-F406  (1)
  F409-F409  (1)
  F40C-F40C  (1)
  F40F-F411  (3)
  F414-F414  (1)
  F417-F417  (1)
  F419-F41B  (3)
  F422-F422  (1)
  F425-F426  (2)
  F490-F490  (1)
  F498-F498  (1)
  F49B-F49B  (1)
  F49E-F49E  (1)
  F4A0-F4A0  (1)
  F4A3-F4A3  (1)
  F4A6-F4A7  (2)
  F4AA-F4AA  (1)
  F4AC-F4AC  (1)
  F4AF-F4AF  (1)
  F4B2-F4B2  (1)
  F4B5-F4B5  (1)
  F4B8-F4B8  (1)
  F4BB-F4BB  (1)
  F4BE-F4BE  (1)
  F4C1-F4C1  (1)
  F4C4-F4C4  (1)
  F4C6-F4CF  (10)
  F4D1-F4D6  (6)
  F4D8-F4D8  (1)
  F692-F69C  (11)
  F69F-F6A9  (11)
  F6AB-F6B4  (10)
  F6B6-F6B7  (2)
  F71C-F71C  (1)
  F71F-F720  (2)
  F722-F722  (1)
  F724-F725  (2)
  F728-F728  (1)
  F72B-F72C  (2)
  F72E-F72E  (1)
  F730-F730  (1)
  F732-F733  (2)
  F735-F739  (5)
  F73B-F73B  (1)
  F73D-F73E  (2)
  F740-F740  (1)
  F742-F742  (1)
  F744-F745  (2)
  F747-F749  (3)
  F752-F753  (2)
  F755-F757  (3)
  F759-F75D  (5)
  F760-F760  (1)
[メインCPU データとして読まれた番地]
  0002-0003  (2)
  0005-0006  (2)
  0013-0013  (1)
  0016-0017  (2)
  001A-001B  (2)
  001D-001E  (2)
  0031-0032  (2)
  0034-0034  (1)
  0036-0037  (2)
  0073-0074  (2)
  0078-0079  (2)
  007B-007C  (2)
  00BE-0310  (595)
  031A-031F  (6)
  0326-0345  (32)
  0370-0371  (2)
  0373-0374  (2)
  0376-0377  (2)
  0379-037A  (2)
  0381-0382  (2)
  0385-0385  (1)
  0389-038A  (2)
  03F4-03F5  (2)
  03F7-03F8  (2)
  043F-043F  (1)
  0443-0443  (1)
  0446-0446  (1)
  0448-0448  (1)
  044B-044B  (1)
  044D-044D  (1)
  044F-0450  (2)
  047C-047C  (1)
  047E-047E  (1)
  0480-0481  (2)
  0484-0485  (2)
  0487-0488  (2)
  048E-048F  (2)
  0491-0492  (2)
  0494-0495  (2)
  0497-0498  (2)
  049A-049B  (2)
  049D-049E  (2)
  04A0-04A1  (2)
  04A3-04A3  (1)
  04A8-04A9  (2)
  04AB-04AC  (2)
  04AF-04B0  (2)
  04B2-04B3  (2)
  04B5-04B6  (2)
  04BC-04BD  (2)
  04C0-04C0  (1)
  04D7-04D8  (2)
  04E9-04EA  (2)
  04EC-04ED  (2)
  04EF-04F0  (2)
  04F3-04F3  (1)
  04FE-04FE  (1)
  0504-0505  (2)
  050B-050C  (2)
  050E-050F  (2)
  0513-0514  (2)
  0516-0517  (2)
  05BE-05BF  (2)
  05C4-05C5  (2)
  05D0-05D0  (1)
  05D2-05D2  (1)
  05D4-05D4  (1)
  05E1-05E2  (2)
  05E8-05E8  (1)
  0634-0635  (2)
  0637-0638  (2)
  063A-063B  (2)
  063D-063E  (2)
  0640-0641  (2)
  0645-0645  (1)
  0647-0648  (2)
  0650-0651  (2)
  065A-065A  (1)
  065C-065D  (2)
  065F-065F  (1)
  0663-0664  (2)
  0668-0668  (1)
  066C-066D  (2)
  0670-0670  (1)
  0672-0672  (1)
  0674-0674  (1)
  0676-0676  (1)
  067A-067B  (2)
  067D-067E  (2)
  0680-0680  (1)
  0682-0682  (1)
  068D-068D  (1)
  0692-0693  (2)
  0695-0695  (1)
  069D-069D  (1)
  069F-069F  (1)
  06A6-06A7  (2)
  06A9-06AA  (2)
  06AC-06AD  (2)
  06AF-06B0  (2)
  06B3-06B4  (2)
  06B6-06B6  (1)
  06BA-06BB  (2)
  06BE-06BE  (1)
  06C9-06C9  (1)
  06ED-06EE  (2)
  06F1-06F2  (2)
  06F4-06F5  (2)
  06F7-06F7  (1)
  06FB-06FB  (1)
  0704-0705  (2)
  0709-0709  (1)
  0710-0710  (1)
  0715-0716  (2)
  0719-0719  (1)
  071E-071E  (1)
  0722-0722  (1)
  0726-0727  (2)
  0729-0729  (1)
  072D-072E  (2)
  0730-0730  (1)
  0737-0738  (2)
  073B-073C  (2)
  0757-0758  (2)
  075B-075C  (2)
  0760-0761  (2)
  0763-0764  (2)
  0769-0769  (1)
  076D-076D  (1)
  076F-077F  (17)
  0783-0783  (1)
  0785-0786  (2)
  078B-078B  (1)
  0792-0792  (1)
  0794-0794  (1)
  079B-079B  (1)
  079D-079E  (2)
  07AF-07AF  (1)
  07B3-07B3  (1)
  07B5-07B6  (2)
  07B8-07B8  (1)
  07BA-07BB  (2)
  07DD-07DE  (2)
  07E2-07E3  (2)
  07E5-07E6  (2)
  082F-0830  (2)
  0834-0834  (1)
  0836-0837  (2)
  083C-083C  (1)
  0841-0841  (1)
  0843-0844  (2)
  0849-084A  (2)
  084C-084C  (1)
  084E-084E  (1)
  0852-0852  (1)
  0854-0855  (2)
  0859-085A  (2)
  085D-085E  (2)
  0897-0897  (1)
  0899-0899  (1)
  089B-089B  (1)
  089F-089F  (1)
  08A3-08A3  (1)
  08A6-08A7  (2)
  08AD-08AE  (2)
  08B2-08B2  (1)
  08B6-08B6  (1)
  08BA-08BA  (1)
  0997-0997  (1)
  0999-0999  (1)
  099B-099C  (2)
  09A2-09A3  (2)
  09A5-09A6  (2)
  09AC-09AD  (2)
  09B0-09B1  (2)
  09B3-09B4  (2)
  09B8-09B9  (2)
  09BC-09BC  (1)
  09BE-09BE  (1)
  09C5-09C6  (2)
  09C8-09C9  (2)
  09D1-09D2  (2)
  09D4-09D5  (2)
  09D8-09D8  (1)
  09E7-09E8  (2)
  09EC-09EC  (1)
  09EE-09EE  (1)
  09F6-09F6  (1)
  09FB-09FB  (1)
  0A02-0A02  (1)
  0A05-0A06  (2)
  0A10-0A11  (2)
  0A13-0A13  (1)
  0A16-0A16  (1)
  0A18-0A18  (1)
  0A1A-0A1A  (1)
  0A1E-0A1E  (1)
  0A22-0A22  (1)
  0A24-0A24  (1)
  0A26-0A27  (2)
  0A2B-0A2B  (1)
  0A31-0A32  (2)
  0A34-0A34  (1)
  0A38-0A38  (1)
  0A3C-0A3C  (1)
  0A3E-0A3E  (1)
  0A48-0A49  (2)
  0A4B-0A4B  (1)
  0A4D-0A4E  (2)
  0A50-0A51  (2)
  0A59-0A5A  (2)
  0A5E-0A5E  (1)
  0A60-0A61  (2)
  0A63-0A64  (2)
  0A66-0A66  (1)
  0A88-0A88  (1)
  0A8E-0A8F  (2)
  0A91-0A91  (1)
  0A95-0A95  (1)
  0A97-0A97  (1)
  0AA8-0AA9  (2)
  0AAB-0AAC  (2)
  0AAE-0AAE  (1)
  0AB2-0AB3  (2)
  0AB5-0AB6  (2)
  0AB8-0AB9  (2)
  0ABB-0ABC  (2)
  0B37-0B37  (1)
  0B3C-0B3C  (1)
  0B3E-0B3E  (1)
  0B4A-0B4A  (1)
  0B4E-0B4E  (1)
  0B51-0B52  (2)
  0B58-0B59  (2)
  0B5B-0B5C  (2)
  0B63-0B64  (2)
  0B70-0B70  (1)
  0B73-0B73  (1)
  0B78-0B78  (1)
  0B7D-0B7D  (1)
  0B7F-0B80  (2)
  0B82-0B83  (2)
  0B85-0B86  (2)
  0B88-0B89  (2)
  0B8B-0B8C  (2)
  0B8E-0B8E  (1)
  0B92-0B92  (1)
  0B96-0B96  (1)
  0B9A-0B9B  (2)
  0C7A-0C7A  (1)
  0C7C-0C7C  (1)
  0C88-0C88  (1)
  0C8F-0C8F  (1)
  0C91-0C91  (1)
  0E55-0E56  (2)
  0E58-0E59  (2)
  0E5D-0E5E  (2)
  0E60-0E61  (2)
  0E63-0E63  (1)
  0E68-0E68  (1)
  0E6D-0E6D  (1)
  0E73-0E73  (1)
  0E77-0E77  (1)
  0E7D-0E7E  (2)
  0E82-0E82  (1)
  0E90-0E91  (2)
  0E93-0E94  (2)
  0E98-0E99  (2)
  0E9B-0E9C  (2)
  0E9F-0E9F  (1)
  0EB6-0EB7  (2)
  0EBD-0EBE  (2)
  0EC1-0EC1  (1)
  0ECC-0ECD  (2)
  0ED0-0ED1  (2)
  0F8C-0F8D  (2)
  0F8F-0F90  (2)
  0F9D-0F9E  (2)
  0FA0-0FA1  (2)
  0FA6-0FA7  (2)
  11D5-11D5  (1)
  11D8-11D8  (1)
  11DA-11DB  (2)
  11DD-11DE  (2)
  11E0-11E1  (2)
  11E4-11E5  (2)
  11E7-11E8  (2)
  11EA-11EB  (2)
  11EF-11F0  (2)
  11F2-11F2  (1)
  1351-1351  (1)
  1354-1354  (1)
  1356-1356  (1)
  1358-1359  (2)
  135C-135C  (1)
  1363-1364  (2)
  1366-1367  (2)
  136C-136C  (1)
  136E-136F  (2)
  1371-1372  (2)
  1379-1379  (1)
  137D-137D  (1)
  1382-1382  (1)
  1384-1385  (2)
  1416-1416  (1)
  1419-1419  (1)
  141C-141C  (1)
  141F-141F  (1)
  1421-1422  (2)
  1424-1425  (2)
  1428-1429  (2)
  142B-142B  (1)
  142F-142F  (1)
  1433-1433  (1)
  1437-1438  (2)
  143A-143B  (2)
  143E-143E  (1)
  1440-1440  (1)
  1442-1442  (1)
  1444-1444  (1)
  1448-1448  (1)
  144A-144A  (1)
  144E-144E  (1)
  1457-1457  (1)
  147A-147B  (2)
  152A-152A  (1)
  181B-181B  (1)
  181F-181F  (1)
  1823-1824  (2)
  1827-1827  (1)
  1876-1876  (1)
  1878-1879  (2)
  187B-187C  (2)
  187E-187F  (2)
  1881-1882  (2)
  1885-1886  (2)
  1888-1889  (2)
  188C-188C  (1)
  188E-188E  (1)
  1890-1890  (1)
  189B-189C  (2)
  18A4-18A5  (2)
  18A7-18A8  (2)
  1AB5-1AB6  (2)
  1AB9-1AB9  (1)
  1B94-1B95  (2)
  1B98-1B99  (2)
  1B9E-1B9F  (2)
  1BBD-1BBE  (2)
  1BC0-1BC1  (2)
  1BC3-1BC4  (2)
  1BC8-1BC9  (2)
  1BCB-1BCC  (2)
  1BD8-1BD8  (1)
  1BDB-1BDC  (2)
  1BE0-1BE0  (1)
  1C38-1C38  (1)
  1C4A-1C4A  (1)
  1C4C-1C4C  (1)
  1DCE-1DCF  (2)
  1DD1-1DD2  (2)
  1DD7-1DD8  (2)
  1E42-1E42  (1)
  1E49-1E49  (1)
  1E4B-1E4B  (1)
  1E4D-1E4D  (1)
  1E57-1E57  (1)
  1E5C-1E5C  (1)
  1E61-1E61  (1)
  1E6B-1E6C  (2)
  1E74-1E75  (2)
  1E7E-1E7F  (2)
  1E88-1E88  (1)
  1E8C-1E8D  (2)
  2093-2094  (2)
  2098-2098  (1)
  209B-209B  (1)
  209E-209F  (2)
  20DF-20E0  (2)
  20E4-20E5  (2)
  20F5-20F6  (2)
  20F8-20F8  (1)
  20FA-20FA  (1)
  20FD-20FE  (2)
  2105-2105  (1)
  21A2-21A3  (2)
  21FE-21FF  (2)
  2201-2201  (1)
  2203-2204  (2)
  2217-2218  (2)
  2230-2231  (2)
  2233-2234  (2)
  2238-2238  (1)
  223A-223A  (1)
  223C-223D  (2)
  2253-2253  (1)
  2255-2255  (1)
  26BE-26BF  (2)
  26C3-26C3  (1)
  26C5-26C6  (2)
  26CA-26CB  (2)
  26CF-26D0  (2)
  26D4-26D4  (1)
  26D9-26D9  (1)
  26DE-26DE  (1)
  26E4-26E5  (2)
  26E7-26E7  (1)
  26EB-26EB  (1)
  26EF-26EF  (1)
  26F1-26F1  (1)
  2712-2712  (1)
  2716-2716  (1)
  271A-271A  (1)
  271E-271E  (1)
  2722-2722  (1)
  2724-2724  (1)
  273C-273D  (2)
  27AA-27AA  (1)
  27B1-27B2  (2)
  27B4-27B5  (2)
  27C8-27C9  (2)
  27CE-27CF  (2)
  28C3-28C4  (2)
  28C7-28C8  (2)
  28CB-28CC  (2)
  28CF-28CF  (1)
  28EE-28EE  (1)
  28F0-28F1  (2)
  28F5-28F6  (2)
  28FE-28FE  (1)
  2902-2903  (2)
  2905-2906  (2)
  2908-2909  (2)
  290C-290C  (1)
  290E-290F  (2)
  2912-2912  (1)
  2914-2914  (1)
  2926-2926  (1)
  292A-292A  (1)
  292E-292E  (1)
  2932-2932  (1)
  2936-2936  (1)
  2938-2938  (1)
  293E-293E  (1)
  2940-2940  (1)
  2946-2946  (1)
  294C-294D  (2)
  294F-2950  (2)
  2952-2952  (1)
  2C6C-2C6C  (1)
  2D0B-2D0C  (2)
  2D0E-2D0E  (1)
  2D10-2D11  (2)
  2D1E-2D1F  (2)
  2D21-2D21  (1)
  2D2A-2D2A  (1)
  2D2D-2D2E  (2)
  2D37-2D37  (1)
  2D39-2D3A  (2)
  2DB2-2DBB  (10)
  2F07-2F0A  (4)
  3053-3064  (18)
  3083-3084  (2)
  3087-3087  (1)
  3089-3089  (1)
  308B-308B  (1)
  308D-308E  (2)
  3090-3091  (2)
  3093-3093  (1)
  3095-3096  (2)
  3098-3098  (1)
  309A-309B  (2)
  309E-309E  (1)
  30A1-30A1  (1)
  30A3-30A4  (2)
  30A7-30A7  (1)
  30AA-30AB  (2)
  30AD-30AE  (2)
  30B3-30B4  (2)
  30B8-30B9  (2)
  30BC-30BC  (1)
  30F1-30F1  (1)
  30F3-30F4  (2)
  3243-3243  (1)
  3245-3246  (2)
  3248-3249  (2)
  324B-324C  (2)
  324E-324F  (2)
  3251-3252  (2)
  3257-3258  (2)
  325A-325B  (2)
  325D-325E  (2)
  3261-3261  (1)
  32A3-32A4  (2)
  32A6-32A6  (1)
  32A9-32A9  (1)
  32F2-32F2  (1)
  3301-3301  (1)
  3303-3303  (1)
  3306-3306  (1)
  3308-3309  (2)
  330B-330B  (1)
  330D-330D  (1)
  330F-330F  (1)
  3311-3311  (1)
  3313-3313  (1)
  3316-3316  (1)
  3318-3319  (2)
  331B-331B  (1)
  331E-331E  (1)
  34D9-34D9  (1)
  34E0-34E1  (2)
  34E4-34E5  (2)
  34E9-34E9  (1)
  34EB-34EC  (2)
  34EF-34EF  (1)
  34F1-34F2  (2)
  34F6-34F6  (1)
  34F8-34F9  (2)
  34FE-34FF  (2)
  3587-3588  (2)
  358D-358E  (2)
  3591-3592  (2)
  3594-3595  (2)
  3597-3598  (2)
  359C-359D  (2)
  359F-35A0  (2)
  35A3-35A3  (1)
  35A9-35AA  (2)
  35DA-35DB  (2)
  35DD-35DD  (1)
  35E0-35E1  (2)
  369B-369B  (1)
  36A1-36A2  (2)
  36A4-36A5  (2)
  36A7-36A8  (2)
  36AA-36AB  (2)
  36AD-36AD  (1)
  36B4-36B4  (1)
  36B8-36B8  (1)
  36BA-36BB  (2)
  36C4-36C5  (2)
  36C7-36C7  (1)
  36CC-36CD  (2)
  36CF-36CF  (1)
  36D4-36D5  (2)
  36DC-36DC  (1)
  36DE-36DE  (1)
  36E0-36E0  (1)
  36E6-36E7  (2)
  36EB-36EB  (1)
  36ED-36ED  (1)
  36F0-36F1  (2)
  36F4-36F5  (2)
  36F7-36F8  (2)
  36FD-36FD  (1)
  3701-3701  (1)
  3703-3704  (2)
  3706-3706  (1)
  3708-3709  (2)
  370B-370B  (1)
  370D-370E  (2)
  3710-3711  (2)
  3714-3714  (1)
  3716-3716  (1)
  371A-371A  (1)
  371F-371F  (1)
  3723-3724  (2)
  3726-3727  (2)
  3729-372A  (2)
  372C-372D  (2)
  372F-3730  (2)
  3733-3734  (2)
  3737-3738  (2)
  373B-373B  (1)
  373D-373E  (2)
  3740-3741  (2)
  3743-3743  (1)
  3745-3745  (1)
  3755-3755  (1)
  3757-3758  (2)
  3761-3761  (1)
  3791-3791  (1)
  3793-3794  (2)
  3796-3797  (2)
  3799-3799  (1)
  379B-379B  (1)
  37CA-37CB  (2)
  37CE-37CE  (1)
  37D0-37D0  (1)
  37D6-37D7  (2)
  37D9-37DA  (2)
  37DD-37DD  (1)
  37DF-37DF  (1)
  37E1-37E1  (1)
  37E5-37E5  (1)
  37E7-37E7  (1)
  37E9-37EA  (2)
  37EC-37ED  (2)
  37EF-37EF  (1)
  37F1-37F1  (1)
  37F5-37F5  (1)
  37F7-37F7  (1)
  37F9-37F9  (1)
  37FB-37FC  (2)
  37FE-37FE  (1)
  3800-3800  (1)
  3802-3802  (1)
  3804-3804  (1)
  3806-3807  (2)
  3809-3809  (1)
  380B-380C  (2)
  380F-380F  (1)
  3812-3812  (1)
  3814-3814  (1)
  3816-3816  (1)
  3818-3819  (2)
  381B-381B  (1)
  381D-381D  (1)
  381F-381F  (1)
  3821-3821  (1)
  3823-3824  (2)
  3826-3826  (1)
  384B-384C  (2)
  384E-384E  (1)
  3850-3850  (1)
  3852-3852  (1)
  3854-3854  (1)
  3856-3856  (1)
  3858-3858  (1)
  385A-385B  (2)
  385D-385D  (1)
  385F-385F  (1)
  3861-3861  (1)
  3864-3864  (1)
  3867-3867  (1)
  3869-3869  (1)
  386B-386C  (2)
  386E-386E  (1)
  3870-3870  (1)
  3872-3872  (1)
  3874-3874  (1)
  3876-3877  (2)
  3879-3879  (1)
  387B-387C  (2)
  387F-387F  (1)
  3881-3881  (1)
  3884-3884  (1)
  3886-3886  (1)
  3888-3888  (1)
  38EA-38EB  (2)
  38ED-38EE  (2)
  38F0-38F0  (1)
  38F2-38F2  (1)
  38F6-38F6  (1)
  38F8-38F8  (1)
  38FA-38FB  (2)
  38FE-38FF  (2)
  3901-3902  (2)
  3904-3905  (2)
  3920-3924  (5)
  3963-3964  (2)
  3966-3967  (2)
  3972-3972  (1)
  39C5-39C5  (1)
  39C8-39C8  (1)
  39D1-39D4  (4)
  39D9-39DA  (2)
  3A0C-3A0C  (1)
  3A0E-3A0E  (1)
  3A10-3A10  (1)
  3A13-3A13  (1)
  3A17-3A17  (1)
  3A19-3A19  (1)
  3A1C-3A1C  (1)
  3A37-3A37  (1)
  3A3A-3A3A  (1)
  3A3D-3A3D  (1)
  3A40-3A40  (1)
  3A43-3A43  (1)
  3A46-3A46  (1)
  3A49-3A49  (1)
  3A4C-3A4C  (1)
  3A4E-3A4F  (2)
  3A52-3A52  (1)
  3A55-3A55  (1)
  3A59-3A5A  (2)
  3A5E-3A5E  (1)
  3A61-3A61  (1)
  3A63-3A63  (1)
  3A65-3A65  (1)
  3A67-3A68  (2)
  3A6B-3A6B  (1)
  3A6E-3A6E  (1)
  3A73-3A73  (1)
  3A76-3A76  (1)
  3A78-3A78  (1)
  3A7A-3A7A  (1)
  3A93-3A93  (1)
  3A96-3A96  (1)
  3A99-3A99  (1)
  3A9B-3A9B  (1)
  3A9F-3A9F  (1)
  3AA3-3AA3  (1)
  3AA7-3AA7  (1)
  3ABC-3ABD  (2)
  3AC5-3AC5  (1)
  3ACE-3ACF  (2)
  3AD6-3AD6  (1)
  3AD9-3AD9  (1)
  3AE1-3AE2  (2)
  3AE7-3AE7  (1)
  3AEA-3AEB  (2)
  3AEE-3AEF  (2)
  3AF2-3AF2  (1)
  3AF4-3AF5  (2)
  3AFF-3B00  (2)
  3B02-3B03  (2)
  3B06-3B0A  (5)
  3B0E-3B0F  (2)
  3B3D-3B41  (5)
  3BD2-3BD2  (1)
  3BD4-3BD4  (1)
  3BD6-3BD6  (1)
  3BE6-3BE6  (1)
  3BEB-3BEB  (1)
  3BF4-3BF4  (1)
  3BF7-3BF8  (2)
  3C10-3C11  (2)
  3C18-3C18  (1)
  3C1B-3C1C  (2)
